Date,Close price,Revenue,Net income,D/E Ratio,ROIC
10/18/2017,63.535,1516.00 ,546.00 ,2.77,0.21
10/19/2017,63.775002,1516.00 ,546.00 ,2.77,0.21
10/20/2017,64.220001,1516.00 ,546.00 ,2.77,0.21
10/23/2017,63.994999,1516.00 ,546.00 ,2.77,0.21
10/24/2017,63.695,1516.00 ,546.00 ,2.77,0.21
10/25/2017,64.105003,1516.00 ,546.00 ,2.77,0.21
10/26/2017,64.470001,1516.00 ,546.00 ,2.77,0.21
10/27/2017,65.089996,1516.00 ,546.00 ,2.77,0.21
10/30/2017,64.724998,1516.00 ,546.00 ,2.77,0.21
10/31/2017,64.714996,1516.00 ,546.00 ,2.77,0.21
11/1/2017,62.759998,1516.00 ,546.00 ,2.77,0.21
11/2/2017,63.290001,1516.00 ,546.00 ,2.77,0.21
11/3/2017,63.514999,1516.00 ,546.00 ,2.77,0.21
11/6/2017,63.884998,1516.00 ,546.00 ,2.77,0.21
11/7/2017,63.485001,1516.00 ,546.00 ,2.77,0.21
11/8/2017,64.410004,1516.00 ,546.00 ,2.77,0.21
11/9/2017,64.440002,1516.00 ,546.00 ,2.77,0.21
11/10/2017,64,1516.00 ,546.00 ,2.77,0.21
11/13/2017,64.080002,1516.00 ,546.00 ,2.77,0.21
11/14/2017,64.864998,1516.00 ,546.00 ,2.77,0.21
11/15/2017,64.260002,1516.00 ,546.00 ,2.77,0.21
11/16/2017,64.769997,1516.00 ,546.00 ,2.77,0.21
11/17/2017,64.195,1516.00 ,546.00 ,2.77,0.21
11/20/2017,64.160004,1516.00 ,546.00 ,2.77,0.21
11/21/2017,64.135002,1516.00 ,546.00 ,2.77,0.21
11/22/2017,63.855,1516.00 ,546.00 ,2.77,0.21
11/24/2017,64.065002,1516.00 ,546.00 ,2.77,0.21
11/27/2017,64.080002,1516.00 ,546.00 ,2.77,0.21
11/28/2017,64.205002,1516.00 ,546.00 ,2.77,0.21
11/29/2017,64.360001,1516.00 ,546.00 ,2.77,0.21
11/30/2017,65.724998,1516.00 ,546.00 ,2.77,0.21
12/1/2017,65.205002,1516.00 ,546.00 ,2.77,0.21
12/4/2017,66.120003,1516.00 ,546.00 ,2.77,0.21
12/5/2017,65.440002,1516.00 ,546.00 ,2.77,0.21
12/6/2017,65.279999,1516.00 ,546.00 ,2.77,0.21
12/7/2017,65.599998,1516.00 ,546.00 ,2.77,0.21
12/8/2017,65.860001,1516.00 ,546.00 ,2.77,0.21
12/11/2017,65.915001,1516.00 ,546.00 ,2.77,0.21
12/12/2017,65.599998,1516.00 ,546.00 ,2.77,0.21
12/13/2017,65.404999,1516.00 ,546.00 ,2.77,0.21
12/14/2017,64.949997,1516.00 ,546.00 ,2.77,0.21
12/15/2017,65.980003,1516.00 ,546.00 ,2.77,0.21
12/18/2017,66.169998,1516.00 ,546.00 ,2.77,0.21
12/19/2017,66.080002,1516.00 ,546.00 ,2.77,0.21
12/20/2017,65.794998,1516.00 ,546.00 ,2.77,0.21
12/21/2017,65.315002,1516.00 ,546.00 ,2.77,0.21
12/22/2017,65.160004,1516.00 ,546.00 ,2.77,0.21
12/26/2017,65.699997,1516.00 ,546.00 ,2.77,0.21
12/27/2017,65.745003,1516.00 ,546.00 ,2.77,0.21
12/28/2017,65.995003,1516.00 ,546.00 ,2.77,0.21
12/29/2017,65.565002,1516.00 ,546.00 ,2.77,0.21
1/2/2018,65.175003,1440.00 ,423.00 ,2.42,0.24
1/3/2018,65.705002,1440.00 ,423.00 ,2.42,0.24
1/4/2018,66.629997,1440.00 ,423.00 ,2.42,0.24
1/5/2018,67.290001,1440.00 ,423.00 ,2.42,0.24
1/8/2018,67.425003,1440.00 ,423.00 ,2.42,0.24
1/9/2018,68.144997,1440.00 ,423.00 ,2.42,0.24
1/10/2018,68.504997,1440.00 ,423.00 ,2.42,0.24
1/11/2018,68.915001,1440.00 ,423.00 ,2.42,0.24
1/12/2018,68.610001,1440.00 ,423.00 ,2.42,0.24
