Date,Close price,Revenue,Net income,D/E Ratio,ROIC
3/5/2019,102.180862,11259.00 ,1518,1.88,0.1
3/6/2019,102.30291,11259.00 ,1518,1.88,0.1
3/7/2019,101.251511,11259.00 ,1518,1.88,0.1
3/8/2019,101.364197,11259.00 ,1518,1.88,0.1
3/11/2019,102.847366,11259.00 ,1518,1.88,0.1
3/12/2019,103.664063,11259.00 ,1518,1.88,0.1
3/13/2019,105.269302,11259.00 ,1518,1.88,0.1
3/14/2019,105.466431,11259.00 ,1518,1.88,0.1
3/15/2019,106.564735,11259.00 ,1518,1.88,0.1
3/18/2019,106.592918,11259.00 ,1518,1.88,0.1
3/19/2019,105.766823,11259.00 ,1518,1.88,0.1
3/20/2019,103.983215,11259.00 ,1518,1.88,0.1
3/21/2019,104.96891,11259.00 ,1518,1.88,0.1
3/22/2019,102.753487,11259.00 ,1518,1.88,0.1
3/25/2019,102.359222,11259.00 ,1518,1.88,0.1
3/26/2019,102.791061,11259.00 ,1518,1.88,0.1
3/27/2019,102.30291,11259.00 ,1518,1.88,0.1
3/28/2019,102.471878,11259.00 ,1518,1.88,0.1
3/29/2019,102.603294,11259.00 ,1518,1.88,0.1
4/1/2019,104.856255,11729.00 ,1729,1.84,0.1
4/2/2019,104.19915,11729.00 ,1729,1.84,0.1
4/3/2019,103.786079,11729.00 ,1729,1.84,0.1
4/4/2019,103.738998,11729.00 ,1729,1.84,0.1
4/5/2019,104.530327,11729.00 ,1729,1.84,0.1
4/8/2019,104.285378,11729.00 ,1729,1.84,0.1
4/9/2019,103.48465,11729.00 ,1729,1.84,0.1
4/10/2019,103.776672,11729.00 ,1729,1.84,0.1
4/11/2019,103.48465,11729.00 ,1729,1.84,0.1
4/12/2019,104.483223,11729.00 ,1729,1.84,0.1
4/15/2019,104.125244,11729.00 ,1729,1.84,0.1
4/16/2019,105.397003,11729.00 ,1729,1.84,0.1
4/17/2019,105.283966,11729.00 ,1729,1.84,0.1
4/18/2019,107.083305,11729.00 ,1729,1.84,0.1
4/22/2019,105.820946,11729.00 ,1729,1.84,0.1
4/23/2019,107.365913,11729.00 ,1729,1.84,0.1
4/24/2019,107.413017,11729.00 ,1729,1.84,0.1
4/25/2019,109.165222,11729.00 ,1729,1.84,0.1
4/26/2019,110.785553,11729.00 ,1729,1.84,0.1
4/29/2019,109.99424,11729.00 ,1729,1.84,0.1
4/30/2019,110.436996,11729.00 ,1729,1.84,0.1
5/1/2019,110.239159,11729.00 ,1729,1.84,0.1
5/2/2019,110.455849,11729.00 ,1729,1.84,0.1
5/3/2019,112.434166,11729.00 ,1729,1.84,0.1
5/6/2019,112.424744,11729.00 ,1729,1.84,0.1
5/7/2019,111.369637,11729.00 ,1729,1.84,0.1
5/8/2019,110.681946,11729.00 ,1729,1.84,0.1
5/9/2019,110.465263,11729.00 ,1729,1.84,0.1
5/10/2019,111.595726,11729.00 ,1729,1.84,0.1
5/13/2019,109.184074,11729.00 ,1729,1.84,0.1
5/14/2019,110.229752,11729.00 ,1729,1.84,0.1
5/15/2019,110.842102,11729.00 ,1729,1.84,0.1
5/16/2019,112.895775,11729.00 ,1729,1.84,0.1
5/17/2019,112.170395,11729.00 ,1729,1.84,0.1
5/20/2019,112.895775,11729.00 ,1729,1.84,0.1
5/21/2019,113.564651,11729.00 ,1729,1.84,0.1
5/22/2019,113.055923,11729.00 ,1729,1.84,0.1
5/23/2019,111.567474,11729.00 ,1729,1.84,0.1
5/24/2019,112.584885,11729.00 ,1729,1.84,0.1
5/28/2019,111.32254,11729.00 ,1729,1.84,0.1
5/29/2019,110.229752,11729.00 ,1729,1.84,0.1
5/30/2019,109.975403,11729.00 ,1729,1.84,0.1
5/31/2019,108.063042,11729.00 ,1729,1.84,0.1
6/3/2019,107.978249,11729.00 ,1729,1.84,0.1
6/4/2019,110.079041,11729.00 ,1729,1.84,0.1
6/5/2019,111.275429,11729.00 ,1729,1.84,0.1
6/6/2019,112.509537,11729.00 ,1729,1.84,0.1
6/7/2019,114.092171,11729.00 ,1729,1.84,0.1
6/10/2019,115.552353,11729.00 ,1729,1.84,0.1
6/11/2019,116.089348,11729.00 ,1729,1.84,0.1
6/12/2019,114.95887,11729.00 ,1729,1.84,0.1
6/13/2019,114.798721,11729.00 ,1729,1.84,0.1
6/14/2019,114.930595,11729.00 ,1729,1.84,0.1
6/17/2019,114.412476,11729.00 ,1729,1.84,0.1
6/18/2019,116.277748,11729.00 ,1729,1.84,0.1
6/19/2019,117.455307,11729.00 ,1729,1.84,0.1
6/20/2019,117.681389,11729.00 ,1729,1.84,0.1
6/21/2019,117.502411,11729.00 ,1729,1.84,0.1
6/24/2019,116.946594,11729.00 ,1729,1.84,0.1
6/25/2019,116.023384,11729.00 ,1729,1.84,0.1
6/26/2019,116.428452,11729.00 ,1729,1.84,0.1
6/27/2019,116.758186,11729.00 ,1729,1.84,0.1
6/28/2019,116.287163,11729.00 ,1729,1.84,0.1
7/1/2019,117.681389,11866.00 ,1723,1.86,0.1
